date,Open,Close
1990-01-02,353.3999938964844,359.69000244140625
1990-01-03,359.69000244140625,358.760009765625
1990-01-04,358.760009765625,355.6700134277344
1990-01-05,355.6700134277344,352.20001220703125
1990-01-08,352.20001220703125,353.7900085449219
1990-01-09,353.8299865722656,349.6199951171875
1990-01-10,349.6199951171875,347.30999755859375
1990-01-11,347.30999755859375,348.5299987792969
1990-01-12,348.5299987792969,339.92999267578125
1990-01-15,339.92999267578125,337.0
1990-01-16,337.0,340.75
1990-01-17,340.7699890136719,337.3999938964844
1990-01-18,337.3999938964844,338.19000244140625
1990-01-19,338.19000244140625,339.1499938964844
1990-01-22,339.1400146484375,330.3800048828125
1990-01-23,330.3800048828125,331.6099853515625
1990-01-24,331.6099853515625,330.260009765625
1990-01-25,330.260009765625,326.0799865722656
1990-01-26,326.0899963378906,325.79998779296875
1990-01-29,325.79998779296875,325.20001220703125
1990-01-30,325.20001220703125,322.9800109863281
1990-01-31,322.9800109863281,329.0799865722656
1990-02-01,329.0799865722656,328.7900085449219
1990-02-02,328.7900085449219,330.9200134277344
1990-02-05,330.9200134277344,331.8500061035156
1990-02-06,331.8500061035156,329.6600036621094
1990-02-07,329.6600036621094,333.75
1990-02-08,333.75,332.9599914550781
1990-02-09,333.0199890136719,333.6199951171875
1990-02-12,333.6199951171875,330.0799865722656
1990-02-13,330.0799865722656,331.0199890136719
1990-02-14,331.0199890136719,332.010009765625
1990-02-15,332.010009765625,334.8900146484375
1990-02-16,334.8900146484375,332.7200012207031
1990-02-20,332.7200012207031,327.989990234375
1990-02-21,327.9100036621094,327.6700134277344
1990-02-22,327.6700134277344,325.70001220703125
1990-02-23,325.70001220703125,324.1499938964844
1990-02-26,324.1600036621094,328.6700134277344
1990-02-27,328.67999267578125,330.260009765625
1990-02-28,330.260009765625,331.8900146484375
1990-03-01,331.8900146484375,332.739990234375
1990-03-02,332.739990234375,335.5400085449219
1990-03-05,335.5400085449219,333.739990234375
1990-03-06,333.739990234375,337.92999267578125
1990-03-07,337.92999267578125,336.95001220703125
1990-03-08,336.95001220703125,340.2699890136719
1990-03-09,340.1199951171875,337.92999267578125
1990-03-12,337.92999267578125,338.6700134277344
1990-03-13,338.6700134277344,336.0
1990-03-14,336.0,336.8699951171875
1990-03-15,336.8699951171875,338.07000732421875
1990-03-16,338.07000732421875,341.9100036621094
1990-03-19,341.9100036621094,343.5299987792969
1990-03-20,343.5299987792969,341.57000732421875
1990-03-21,341.57000732421875,339.739990234375
1990-03-22,339.739990234375,335.69000244140625
1990-03-23,335.69000244140625,337.2200012207031
1990-03-26,337.2200012207031,337.6300048828125
1990-03-27,337.6300048828125,341.5
1990-03-28,341.5,342.0
1990-03-29,342.0,340.7900085449219
1990-03-30,340.7900085449219,339.94000244140625
1990-04-02,339.94000244140625,338.70001220703125
1990-04-03,338.70001220703125,343.6400146484375
1990-04-04,343.6400146484375,341.0899963378906
1990-04-05,341.0899963378906,340.7300109863281
1990-04-06,340.7300109863281,340.0799865722656
1990-04-09,340.0799865722656,341.3699951171875
1990-04-10,341.3699951171875,342.07000732421875
1990-04-11,342.07000732421875,341.9200134277344
1990-04-12,341.9200134277344,344.3399963378906
1990-04-16,344.3399963378906,344.739990234375
1990-04-17,344.739990234375,344.67999267578125
1990-04-18,344.67999267578125,340.7200012207031
1990-04-19,340.7200012207031,338.0899963378906
1990-04-20,338.0899963378906,335.1199951171875
1990-04-23,335.1199951171875,331.04998779296875
1990-04-24,331.04998779296875,330.3599853515625
1990-04-25,330.3599853515625,332.0299987792969
1990-04-26,332.0299987792969,332.9200134277344
1990-04-27,332.9200134277344,329.1099853515625
1990-04-30,329.1099853515625,330.79998779296875
1990-05-01,330.79998779296875,332.25
1990-05-02,332.25,334.4800109863281
1990-05-03,334.4800109863281,335.57000732421875
1990-05-04,335.5799865722656,338.3900146484375
1990-05-07,338.3900146484375,340.5299987792969
1990-05-08,340.5299987792969,342.010009765625
1990-05-09,342.010009765625,342.8599853515625
1990-05-10,342.8699951171875,343.82000732421875
1990-05-11,343.82000732421875,352.0
1990-05-14,352.0,354.75
1990-05-15,354.75,354.2799987792969
1990-05-16,354.2699890136719,354.0
1990-05-17,354.0,354.4700012207031
1990-05-18,354.4700012207031,354.6400146484375
1990-05-21,354.6400146484375,358.0
1990-05-22,358.0,358.42999267578125
1990-05-23,358.42999267578125,359.2900085449219
1990-05-24,359.2900085449219,358.4100036621094
1990-05-25,358.4100036621094,354.5799865722656
1990-05-29,354.5799865722656,360.6499938964844
1990-05-30,360.6499938964844,360.8599853515625
1990-05-31,360.8599853515625,361.2300109863281
1990-06-01,361.260009765625,363.1600036621094
